level 1;level 2;level 3;level 4;level 5;level 6;Value
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Petasites ;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Prenanthes;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Silybum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Tanacetum;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Taraxacum ;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Asteraceae;Tragopogon;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Fagales;Betulaceae;Corylus;1
Spermatophyta;Magnoliophytina;LAMIID/ASTERID I;Boraginales;Boraginaceae;Trachystemon ;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Brassica;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Brassica;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Brassica ;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Capsella;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Eruca;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Lepidium;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Nasturtium;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Brassicales;Brassicaceae;Raphanus;1
Spermatophyta;Magnoliophytina;EUDICOTS;Buxales;Buxaceae;Buxus;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Campanulaceae;Campanula;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Asterales;Campanulaceae;Campanula;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Dipsacales;Caprifoliaceae;Lonicera;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Caryophyllaceae;Silene;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Caryophyllaceae;Stellaria;1
